response_type,duration_sec,record_date,response_id,distribution_channel,user_lang,academia_status,dept_prof,dept_students,first_line_code,years_coding,self_id_as_coder,read_prog_book,freq_oss_proj,what_os,time_cleaning_code,time_data_clean_prog,time_data_clean_gui,time_exp_manip,time_field_data_coll,time_grant_writing,time_lit_review,time_meeting,time_read_doc,time_digital_data_coll,time_paper_writing,self_expect_time_coding,value_comp_skills_wrt_domain,more_time_learning_to_code,pct_social_contacts_coding,comp_skills_factors_pursue_academia,comp_skills_pro_benefits_s,comp_skills_pro_benefits_p,comp_skills_recruiting,comp_skills_recruiting_undergrad,comp_skills_recruiting_grad,comp_skills_recruiting_postdoc,cite_code,cite_data,value_oss_license,value_coc,value_contrib_guide,value_cla,value_active,value_responsive_maintainers,value_welcoming_community,value_widespread_use,disadv_not_coding,coding_on_future_opportunities,value_share_code,value_accessibility_paper_code,value_paper_code_citability,value_learn_code_in_field,year_born,country_origin,us_state,score,name_research_group,reason_coding,how_did_you_learn_code,position_industry,freq_coding_proj,use_lang,enough_instit_support,friends_help,perceived_benefits_coding,do_share_code_online,qualities_oss,why_not_coding,pref_pronouns,underrep_group,ethnicity,nb_advisors,third_adv_dept,third_adv_expect_time_coding,second_adv_dept,first_adv_dept,first_adv_expect_time_coding,second_adv_expect_time_coding,dept_students_lab,enough_instit_support_ord,more_time_learning_to_code_ord,self_expect_time_coding_ord,value_learn_code_in_field_ord,value_comp_skills_wrt_domain_ord,value_welcoming_community_ord,value_share_code_ord,is_coder,gender_binary,first_line_code_before_18,dept_students_binary,ethnicity_binary
IP Address,555,2022-09-21 18:07:19,R_3KvwIAZSF4HQ04k,email,EN,Graduate student,,"Food Systems M.S., Ph.D.",18 - 24 years,1 to 2 years,No,Never,None of the software,MacOS,0 hour,0 hour,0 hour,0 hour,1-5 hours,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,1-5 hours,Neither too much or too little,Not valued at all compared to my research ability,"Yes but that's fine, I'm learning while doing",20,Not at all important,Somewhat unlikely,,,,,,I have not cited people's code,I have not cited people's data,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat important to have,,,Somewhat important to have,Somewhat important to have,Somewhat important to have,Not at all in important,1999,United States of America,New York,5,I do not have any research group,"School,Research",School,I never worked in industry as developer,Few projects,SPSS,I do not know,"Friends,Colleagues,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication",I do not share my code online,"User experience (ease of use),Compatibility,Customizability",,she/her,not-underrep,White or of European descent,1,,,,Community Development and Applied Economics (CDAE),Neither too much nor too little,,"Food Systems (M.S., Ph.D.)",999,2,4,1,3,1,2,coder,female,0,Non-STEM,white
IP Address,394,2022-09-21 20:18:02,R_3nCTnOHNbzadYWQ,email,EN,Graduate student,,"Food Systems M.S., Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Neither likely nor unlikely,I don't know,I don't know,I don't know,Slightly important,1989,Iran,,15,Fill in the blank:,I  do not know how to code,,,,,,,,,,I do not think this is for me,she/her,not-underrep,Middle Eastern,2,,,,,,,"Food Systems (M.S., Ph.D.)",999,999,999,2,999,999,998,non coder,female,999,Non-STEM,non-white
IP Address,524,2022-09-22 08:57:38,R_3iDNQxAz0qjFYF0,anonymous,EN,Graduate student,,,11 - 17 years,2 to 4 years,Maybe,Never,Always,MacOS,1-5 hours,6-10 hours,1-5 hours,6-10 hours,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,1-5 hours,0 hour,Slightly too much,More valued than my research ability,"Yes but that's fine, I'm learning while doing",70,Extremely important,Extremely likely,,,,,,I have not cited people's code,I don't cite people's data,Very important to have,Very important to have,Very important to have,Somewhat important to have,Very important to have,Very important to have,Very important to have,Somewhat important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,1999,India,,12,I do not have any research group,"School,Research,Work,Fun","Other online resources (videos, blogs, etc)","Database administrator,Designer,Engineer, data,Developer, front-end,Data scientist or machine learning specialist",Most projects,"HTML/CSS,Javascript,Matlab,Python,R,SQL",Yes,"Friends,Colleagues,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",I do not share my code online,"Stability,User experience (ease of use),Innovation",,he/him,underrep,South Asian,1,,,,,Neither too much nor too little,,,3,2,2,4,2,3,3,coder,male,1,,non-white
IP Address,1800,2022-09-22 13:18:10,R_25BnLdvlmzjAByH,email,EN,Graduate student,,Community Development and Applied Economics M.S.,18 - 24 years,2 to 4 years,Maybe,Never,Almost none of the software,MacOS,1-5 hours,0 hour,0 hour,1-5 hours,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,6-10 hours,Neither too much or too little,As valued as my research ability,"Yes, I wish I had more time to learn programming",10,Extremely important,Extremely likely,,,,,,I have not cited people's code,I have not cited people's data,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Very important to have,,,Somewhat important to have,Somewhat important to have,Somewhat important to have,Extremely important,1999,United States of America,New York,5,I do not have any research group,"School,Research",School,I never worked in industry as developer,Few projects,"R,Stata",Yes,"Friends,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",I do not share my code online,"Stability,Security,User experience (ease of use),Compatibility,Transparency,Customizability,Cost,Replicability,Trusted producer,Innovation,Support",,she/her,not-underrep,White or of European descent,1,,,,Community Development and Applied Economics (CDAE),Neither too much nor too little,,CDAE (M.S),3,1,4,4,4,1,2,coder,female,0,Non-STEM,white
IP Address,1800,2022-09-22 17:48:22,R_1pldwkTdQf0RCMV,email,EN,Graduate student,,"Food Systems M.S., Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, a little bit",Somewhat likely,Somewhat important to have,Very important to have,Very important to have,Slightly important,2000,United States of America,Texas,8,Fill in the blank:,I  do not know how to code,,,,,,,,,,"I do not know where to start,Other",she/her,not-underrep,White or of European descent,1,,,,,,,"Food Systems (M.S., Ph.D.)",999,999,999,2,999,999,2,non coder,female,999,Non-STEM,white
IP Address,1232,2022-09-23 07:56:52,R_2uPRPyOeMANpcpo,email,EN,Graduate student,,Community Development and Applied Economics M.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't know,Somewhat likely,Somewhat important to have,I don't know,I don't know,Very important,1996,Sri Lanka,,8,I do not have any research group,I  do not know how to code,,,,,,,,,,"I do not know where to start,Other",she/her,not-underrep,South Asian,1,,,,,,,CDAE (M.S),999,999,999,3,999,999,2,non coder,female,999,Non-STEM,non-white
IP Address,733,2022-09-23 11:45:30,R_1Ime9cZdUYEBSh2,anonymous,EN,Graduate student,,"Computer Science M.S., Ph.D.",18 - 24 years,5 to 9 years,Yes,Never,Some of the software,MacOS,6-10 hours,0 hour,1-5 hours,0 hour,0 hour,0 hour,6-10 hours,6-10 hours,0 hour,0 hour,1-5 hours,Neither too much or too little,As valued as my research ability,"Yes, I wish I had more time to learn programming",70,Very important,Extremely likely,,,,,,I cite their academic paper,I cite their academic paper,Not important,Somewhat important to have,Somewhat important to have,Not important,Very important to have,Very important to have,Somewhat important to have,Very important to have,,,Somewhat important to have,Somewhat important to have,Not important,Extremely important,1994,United States of America,Maryland,10,Fill in the blank:,"School,Research,Social good",School,I never worked in industry as developer,On every project,"Go,Python,R,SQL,Other",No and I wish there were,"Friends,Colleagues,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",Github,"User experience (ease of use),Compatibility,Customizability,Cost,Trusted producer,Innovation,Support,Community",,he/him,not-underrep,White or of European descent,1,,,,Computer Science,Neither too much nor too little,,"Computer Science (M.S., Ph.D.)",1,1,4,4,4,2,2,coder,male,0,STEM,white
IP Address,195,2022-09-23 13:22:49,R_2qr9ldslRsVF3MR,email,EN,Graduate student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, a little bit",Somewhat likely,I don't know,I don't know,I don't know,Very important,1997,Brazil,,9,I do not have any research group,I  do not know how to code,,,,,,,,,,"Lack of time,I do not know where to start",she/her,underrep,Black or of African descent,1,,,,,,,,999,999,999,3,999,999,998,non coder,female,999,,non-white
IP Address,187,2022-09-25 17:37:12,R_DMgpBBE4DSv8puF,email,EN,Graduate student,,"Food Systems M.S., Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, a little bit",Somewhat likely,I don't know,I don't know,I don't know,Slightly important,1998,United States of America,California,8,I do not have any research group,I  do not know how to code,,,,,,,,,,I do not know where to start,she/her,not-underrep,White or of European descent,I do not have an advisor yet,,,,,,,"Food Systems (M.S., Ph.D.)",999,999,999,2,999,999,998,non coder,female,999,Non-STEM,white
IP Address,1800,2022-09-27 10:27:29,R_WCJBP94BGyoMzhn,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",25 - 34 years,2 to 4 years,Maybe,Sometimes,Always,,0,0,0,0,0,0,0,0,,0,0,,Less valued than my research capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Fill in the blank:,"School,Research,Work","Other online resources (videos, blogs, etc)",I never worked in industry as developer,Most projects,"Julia,Python,R","No and that's fine, I'm learning on my own",,,,,,,not-underrep,,2,,,,,,,"CSDS (M.S., Ph.D.)",2,999,999,999,1,999,999,coder,,0,STEM,
IP Address,1002,2022-09-28 13:05:47,R_e5qyh089rXCNUg9,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,5 to 9 years,Yes,Never,Most of the software,MacOS,1-5 hours,6-10 hours,0 hour,1-5 hours,0 hour,0 hour,6-10 hours,6-10 hours,6-10 hours,6-10 hours,1-5 hours,Slightly too much,More valued than my research ability,"Yes but that's fine, I'm learning while doing",50,Extremely important,Extremely likely,,,,,,"Cite directly git repository as a link,Cite using BibTeX, APA, MLA etc.,I cite their academic paper","Cite using bibtex, APA, MLA etc.,I cite their academic paper",Very important to have,Somewhat important to have,Very important to have,Very important to have,Somewhat important to have,Very important to have,Somewhat important to have,Not important,,,Very important to have,Somewhat important to have,Very important to have,Extremely important,1999,United States of America,Connecticut,12,Fill in the blank:,"School,Research,Work,Fun","Other online resources (videos, blogs, etc),School","Educator,Engineer, data,Data scientist or machine learning specialist",On every project,"HTML/CSS,Javascript,Julia,Matlab,Python,R,SQL",Yes,"Friends,Colleagues,Co-supervisor,Supervisor","Data Visualization,Database management,Data simulation,Numerical analysis,Social good,Web scraping,Professional opportunities","Github,Gitlab","Stability,User experience (ease of use),Compatibility,Transparency,Customizability,Replicability,Support,Community",,he/him,not-underrep,White or of European descent,3,Complex Systems and Data Science,Slightly too much,,Complex Systems and Data Science,Slightly too much,Slightly too much,"CSDS (M.S., Ph.D.)",3,2,2,4,2,2,3,coder,male,0,STEM,white
IP Address,1800,2022-09-30 16:14:16,R_aaRYoYB709fTezT,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",11 - 17 years,5 to 9 years,Yes,Never,Always,MacOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Fill in the blank:,"School,Research,Work,Fun,Social good",School,"Developer, back-end",On every project,"Julia,Python",,,,,,,,not-underrep,,2,,,,,,,"CSDS (M.S., Ph.D.)",999,999,999,999,999,999,999,coder,,1,STEM,
IP Address,384,2022-10-03 15:11:53,R_2q97KoU52AZ4j4m,email,EN,Undergraduate student,,European Studies B.A.,18 - 24 years,Less than 1 year,No,Never,Almost none of the software,MacOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,I do not have any research group,"School,Research",Michelle Saunders coding powerpoints/ activities,I never worked in industry as developer,Few projects,"Stata,Other",,,,,,,,not-underrep,,1,,,,,,,European Studies (B.A.),999,999,999,999,999,999,999,coder,,0,Non-STEM,
IP Address,1372,2022-10-04 12:54:17,R_1OE9b35w91eT7xw,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",5 - 10 years,10 to 14 years,Yes,Sometimes,Most of the software,Linux-based,1-5 hours,1-5 hours,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,1-5 hours,6-10 hours,1-5 hours,6-10 hours,Neither too much or too little,Less valued than my research capacity,"Yes but that's fine, I'm learning while doing",60,Moderately important,Extremely likely,,,,,,"Cite directly git repository as a link,I cite their academic paper",I cite their academic paper,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important not to have,Not important,Not important,Very important to have,Somewhat important to have,,,Very important to have,Very important to have,Somewhat important to have,Extremely important,1995,United States of America,California,17,Fill in the blank:,"School,Research,Work,Fun,Social good","Books / printed  media,Online courses or certification,Online forums,Friend or family member","Database administrator,System administrator,Educator,Developer, back-end,Developer, full-stack,Data scientist or machine learning specialist",Most projects,"C,C++,Elixir,HTML/CSS,Perl,Python,Ruby,SQL","No and that's fine, I'm learning on my own","Friends,Colleagues","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities","Github,Gitlab,Personal websites","Stability,Security,Customizability,Cost",,he/him,not-underrep,White or of European descent,2,,,Mathematics and Statistics,Computer Science,Neither too much nor too little,Slightly too much,"CSDS (M.S., Ph.D.)",2,2,4,4,1,3,3,coder,male,1,STEM,white
IP Address,287,2022-10-06 08:11:38,R_2aJ2gj4M1d3RQ8d,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",11 - 17 years,5 to 9 years,Maybe,Sometimes,Most of the software,MacOS,1-5 hours,11-15 hours,1-5 hours,1-5 hours,0 hour,1-5 hours,1-5 hours,1-5 hours,1-5 hours,0 hour,0 hour,Neither too much or too little,Prefer not to say,Not really,,,Extremely likely,,,,,,I cite their academic paper,I cite their academic paper,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,1998,United States of America,Vermont,8,Fill in the blank:,"School,Research,Work",GIV summer camp,I never worked in industry as developer,On every project,"HTML/CSS,Matlab,Python,R,SQL",Yes,,"Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication",I do not share my code online,"Stability,User experience (ease of use),Compatibility,Cost",,she/her,not-underrep,White or of European descent,I do not have an advisor yet,,,,,,,"CSDS (M.S., Ph.D.)",3,3,4,4,999,2,3,coder,female,1,STEM,white
IP Address,462,2022-10-06 08:15:16,R_3HU103gKfO8cgI2,anonymous,EN,Graduate student,,,18 - 24 years,5 to 9 years,Yes,Never,Always,MacOS,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,Neither too much or too little,As valued as my research ability,"Yes, I wish I had more time to learn programming",100,Very important,Extremely likely,,,,,,Prefer not to say,Prefer not to say.,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Not important,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,1999,United States of America,Maine,7,I do not have any research group,"School,Fun","Other online resources (videos, blogs, etc),School,Online courses or certification,Online forums,Friend or family member","Developer, desktop or enterprise applications,Educator,Developer, back-end,Data scientist or machine learning specialist",On every project,"C++,Java,Matlab,Python,R,SQL",Yes,Friends,"Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",Github,"Stability,User experience (ease of use),Compatibility,Customizability,Cost,Replicability,Trusted producer,Innovation",,he/him,not-underrep,White or of European descent,1,,,,,Neither too much nor too little,,,3,1,4,4,4,1,3,coder,male,0,,white
IP Address,574,2022-10-06 08:33:26,R_3kzAH7EbuNgSSfh,anonymous,EN,Undergraduate student,,Data Science B.S,18 - 24 years,2 to 4 years,Yes,Never,Most of the software,MacOS,1-5 hours,1-5 hours,1-5 hours,0 hour,0 hour,0 hour,0 hour,6-10 hours,1-5 hours,0 hour,0 hour,Slightly too much,As valued as my research ability,"Yes but that's fine, I'm learning while doing",10,Moderately important,Extremely likely,,,,,,Cite directly git repository as a link,Cite directly git repository as a link,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important to have,Very important to have,Very important to have,Very important to have,,,I don't know,Very important to have,Very important to have,Extremely important,2000,United States of America,Connecticut,18,I do not have any research group,"School,Work,Other",School,Data scientist or machine learning specialist,Most projects,"Javascript,Matlab,Python,R,SQL",No and I wish there were,"Friends,Supervisor","Data Visualization,Database management,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",Github,"Stability,User experience (ease of use),Cost,Community",,he/him,not-underrep,White or of European descent,1,,,,Mathematics and Statistics,Neither too much nor too little,,Data Science (B.S),1,2,2,4,4,3,998,coder,male,0,STEM,white
